aluno_id,prev_created_at,prev_matematica,prev_linguagens,prev_humanas,prev_natureza,next_matematica,next_linguagens,next_humanas,next_natureza,tests_count,trend_matematica,trend_linguagens,trend_humanas,trend_natureza,rolling_mean_matematica,rolling_mean_linguagens,rolling_mean_humanas,rolling_mean_natureza
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-04-27 23:52:52.580613+00:00,41.0,34.0,37.0,40.0,40.0,38.0,39.0,41.0,9,0.28571428571428414,-0.4523809523809549,0.483333333333333,0.21428571428571053,40.0,35.333333333333336,36.666666666666664,39.5
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-04-27 23:53:27.612946+00:00,40.0,38.0,39.0,41.0,36.0,37.0,38.0,38.0,10,0.32142857142857145,-0.23333333333333278,0.4909090909090904,0.32142857142856834,40.5,36.333333333333336,38.333333333333336,40.5
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-04-27 23:53:56.555474+00:00,36.0,37.0,38.0,38.0,42.0,37.0,36.0,40.0,11,0.050000000000002515,-0.1636363636363645,0.42727272727272725,0.150000000000002,39.0,36.333333333333336,38.0,39.666666666666664
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-04-27 23:54:30.999939+00:00,42.0,37.0,36.0,40.0,40.0,39.0,40.0,41.0,12,0.23636363636363802,-0.1181818181818173,0.2972027972027977,0.1636363636363627,39.333333333333336,37.333333333333336,37.666666666666664,39.666666666666664
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-05-01 19:18:37.754147+00:00,40.0,39.0,40.0,41.0,38.0,42.0,40.0,38.0,13,0.23636363636363594,-0.01048951048950913,0.34065934065934134,0.20909090909090933,39.333333333333336,37.666666666666664,38.0,39.666666666666664
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-05-12 21:08:28.469079+00:00,38.0,42.0,40.0,38.0,43.0,35.0,42.0,41.0,14,0.15034965034965148,0.15384615384615438,0.35824175824175797,0.1118881118881121,40.0,39.333333333333336,38.666666666666664,39.666666666666664
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-05-23 23:29:55.567223+00:00,43.0,35.0,42.0,41.0,44.0,43.0,37.0,37.0,15,0.25824175824175927,0.052747252747251,0.41071428571428664,0.14835164835165038,40.333333333333336,38.666666666666664,40.666666666666664,40.0
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-06-02 18:05:17.837390+00:00,44.0,43.0,37.0,37.0,41.0,,,42.0,16,0.34725274725274435,0.18571428571428578,0.32647058823529485,0.052747252747251644,41.666666666666664,40.0,39.666666666666664,38.666666666666664
724a4bd8-fd21-401a-bf6c-4bb541054faa,2026-04-15 01:48:11.456604+00:00,40.0,39.0,41.0,34.0,38.0,36.0,34.0,23.0,1,,,,,40.0,39.0,41.0,34.0
724a4bd8-fd21-401a-bf6c-4bb541054faa,2026-04-19 16:37:31.246939+00:00,38.0,36.0,34.0,23.0,40.0,42.0,35.0,24.0,2,-2.0000000000000067,-3.0000000000000084,-7.000000000000005,-10.999999999999998,39.0,37.5,37.5,28.5
724a4bd8-fd21-401a-bf6c-4bb541054faa,2026-05-12 16:54:15.360996+00:00,40.0,42.0,35.0,24.0,43.0,42.0,34.0,27.0,3,-3.1334747840750116e-15,1.4999999999999938,-3.0000000000000027,-5.000000000000003,39.333333333333336,39.0,36.666666666666664,27.0
8089b383-82f8-4465-a2f0-89e8f1841d24,2026-04-02 18:01:10.129950+00:00,36.0,17.0,31.0,29.0,37.0,,,29.0,1,,,,,36.0,17.0,31.0,29.0
8b7fa671-82e2-4a57-90d8-cbd0b92001f8,2026-04-28 20:36:37.657074+00:00,41.0,37.0,39.0,39.0,39.0,41.0,40.0,37.0,1,,,,,41.0,37.0,39.0,39.0
8b7fa671-82e2-4a57-90d8-cbd0b92001f8,2026-04-28 20:37:11.813224+00:00,39.0,41.0,40.0,37.0,42.0,36.0,40.0,41.0,2,-2.0000000000000018,3.999999999999992,0.9999999999999941,-2.0000000000000093,40.0,39.0,39.5,38.0
8b7fa671-82e2-4a57-90d8-cbd0b92001f8,2026-04-28 20:37:50.847005+00:00,42.0,36.0,40.0,41.0,42.0,40.0,44.0,40.0,3,0.4999999999999994,-0.5000000000000016,0.49999999999999534,0.9999999999999974,40.666666666666664,38.0,39.666666666666664,39.0
8b7fa671-82e2-4a57-90d8-cbd0b92001f8,2026-04-28 20:38:19.533184+00:00,42.0,40.0,44.0,40.0,42.0,31.0,40.0,42.0,4,0.6000000000000022,0.4000000000000022,1.5000000000000058,0.7000000000000015,41.0,39.0,41.333333333333336,39.333333333333336
8b7fa671-82e2-4a57-90d8-cbd0b92001f8,2026-04-28 20:38:48.689724+00:00,42.0,31.0,40.0,42.0,41.0,40.0,42.0,38.0,5,0.4999999999999935,-1.3000000000000074,0.5999999999999982,0.8999999999999967,42.0,35.666666666666664,41.333333333333336,41.0
8b7fa671-82e2-4a57-90d8-cbd0b92001f8,2026-04-28 20:39:10.255986+00:00,41.0,40.0,42.0,38.0,41.0,40.0,40.0,36.0,6,0.2571428571428567,-0.3142857142857133,0.5428571428571396,0.257142857142857,41.666666666666664,37.0,42.0,40.0
